timestamp,id_client,code,event,place
0.0,1,TEMP,systemarrival,System
0.0,2,TEMP,systemarrival,System
0.0,3,TEMP,systemarrival,System
0.0,4,TEMP,systemarrival,System
0.0,5,TEMP,systemarrival,System
0.0,6,TEMP,systemarrival,System
0.0,7,TEMP,systemarrival,System
0.0,8,TEMP,systemarrival,System
0.0,9,TEMP,systemarrival,System
0.0,10,TEMP,systemarrival,System
0.0,1,TEMP,enterqueue,station1
0.0,2,TEMP,enterqueue,station1
0.0,3,TEMP,enterqueue,station1
0.0,4,TEMP,enterqueue,station1
0.0,5,TEMP,enterqueue,station1
0.0,6,TEMP,enterqueue,station1
0.0,7,TEMP,enterqueue,station1
0.0,8,TEMP,enterqueue,station1
0.0,9,TEMP,enterqueue,station1
0.0,10,TEMP,enterqueue,station1
0.0,1,TEMP,startprocess,S1
1.0,1,TEMP,finishprocess,S1
1.0,1,TEMP,enterqueue,station3
1.0,10,TEMP,startprocess,S1
1.0,1,TEMP,startprocess,S3
2.0,10,TEMP,finishprocess,S1
2.0,10,TEMP,enterqueue,station3
2.0,9,TEMP,startprocess,S1
3.0,9,TEMP,finishprocess,S1
3.0,9,TEMP,enterqueue,station3
3.0,8,TEMP,startprocess,S1
4.0,8,TEMP,finishprocess,S1
4.0,8,TEMP,enterqueue,station3
4.0,7,TEMP,startprocess,S1
5.0,1,TEMP,finishprocess,S3
5.0,7,TEMP,finishprocess,S1
5.0,7,TEMP,enterqueue,station3
5.0,10,TEMP,startprocess,S3
5.0,1,TEMP,enterqueue,station4
5.0,6,TEMP,startprocess,S1
5.0,1,TEMP,startprocess,S4M1
6.0,6,TEMP,finishprocess,S1
6.0,6,TEMP,enterqueue,station3
6.0,5,TEMP,startprocess,S1
7.0,5,TEMP,finishprocess,S1
7.0,5,TEMP,enterqueue,station3
7.0,4,TEMP,startprocess,S1
8.0,4,TEMP,finishprocess,S1
8.0,4,TEMP,enterqueue,station3
8.0,3,TEMP,startprocess,S1
9.0,10,TEMP,finishprocess,S3
9.0,3,TEMP,finishprocess,S1
9.0,3,TEMP,enterqueue,station3
9.0,9,TEMP,startprocess,S3
9.0,10,TEMP,enterqueue,station4
9.0,2,TEMP,startprocess,S1
9.0,10,TEMP,startprocess,S4M2
10.0,2,TEMP,finishprocess,S1
10.0,2,TEMP,enterqueue,station3
13.0,1,TEMP,finishprocess,S4M1
13.0,1,TEMP,enterqueue,station5
13.0,9,TEMP,finishprocess,S3
13.0,1,TEMP,startprocess,S5
13.0,8,TEMP,startprocess,S3
13.0,9,TEMP,enterqueue,station4
13.0,9,TEMP,startprocess,S4M3
17.0,10,TEMP,finishprocess,S4M2
17.0,10,TEMP,enterqueue,station5
17.0,8,TEMP,finishprocess,S3
17.0,7,TEMP,startprocess,S3
17.0,8,TEMP,enterqueue,station4
17.0,8,TEMP,startprocess,S4M1
19.0,1,TEMP,finishprocess,S5
19.0,10,TEMP,startprocess,S5
19.0,1,TEMP,enterqueue,station2
19.0,1,TEMP,startprocess,S2M1
21.0,9,TEMP,finishprocess,S4M3
21.0,9,TEMP,enterqueue,station5
21.0,7,TEMP,finishprocess,S3
21.0,6,TEMP,startprocess,S3
21.0,7,TEMP,enterqueue,station4
21.0,7,TEMP,startprocess,S4M2
25.0,8,TEMP,finishprocess,S4M1
25.0,8,TEMP,enterqueue,station5
25.0,10,TEMP,finishprocess,S5
25.0,6,TEMP,finishprocess,S3
25.0,9,TEMP,startprocess,S5
25.0,10,TEMP,enterqueue,station2
25.0,5,TEMP,startprocess,S3
25.0,6,TEMP,enterqueue,station4
25.0,10,TEMP,startprocess,S2M2
25.0,6,TEMP,startprocess,S4M3
26.0,1,TEMP,finishprocess,S2M1
26.0,1,TEMP,systemexit,System
29.0,7,TEMP,finishprocess,S4M2
29.0,7,TEMP,enterqueue,station5
29.0,5,TEMP,finishprocess,S3
29.0,4,TEMP,startprocess,S3
29.0,5,TEMP,enterqueue,station4
29.0,5,TEMP,startprocess,S4M1
31.0,9,TEMP,finishprocess,S5
31.0,8,TEMP,startprocess,S5
31.0,9,TEMP,enterqueue,station2
31.0,9,TEMP,startprocess,S2M1
32.0,10,TEMP,finishprocess,S2M2
32.0,10,TEMP,systemexit,System
33.0,6,TEMP,finishprocess,S4M3
33.0,6,TEMP,enterqueue,station5
33.0,4,TEMP,finishprocess,S3
33.0,3,TEMP,startprocess,S3
33.0,4,TEMP,enterqueue,station4
33.0,4,TEMP,startprocess,S4M2
37.0,5,TEMP,finishprocess,S4M1
37.0,5,TEMP,enterqueue,station5
37.0,8,TEMP,finishprocess,S5
37.0,3,TEMP,finishprocess,S3
37.0,7,TEMP,startprocess,S5
37.0,8,TEMP,enterqueue,station2
37.0,2,TEMP,startprocess,S3
37.0,3,TEMP,enterqueue,station4
37.0,8,TEMP,startprocess,S2M2
37.0,3,TEMP,startprocess,S4M3
38.0,9,TEMP,finishprocess,S2M1
38.0,9,TEMP,systemexit,System
41.0,4,TEMP,finishprocess,S4M2
41.0,4,TEMP,enterqueue,station5
41.0,2,TEMP,finishprocess,S3
41.0,2,TEMP,enterqueue,station4
41.0,2,TEMP,startprocess,S4M1
43.0,7,TEMP,finishprocess,S5
43.0,6,TEMP,startprocess,S5
43.0,7,TEMP,enterqueue,station2
43.0,7,TEMP,startprocess,S2M1
44.0,8,TEMP,finishprocess,S2M2
44.0,8,TEMP,systemexit,System
45.0,3,TEMP,finishprocess,S4M3
45.0,3,TEMP,enterqueue,station5
49.0,2,TEMP,finishprocess,S4M1
49.0,2,TEMP,enterqueue,station5
49.0,6,TEMP,finishprocess,S5
49.0,5,TEMP,startprocess,S5
49.0,6,TEMP,enterqueue,station2
49.0,6,TEMP,startprocess,S2M2
50.0,7,TEMP,finishprocess,S2M1
50.0,7,TEMP,systemexit,System
55.0,5,TEMP,finishprocess,S5
55.0,4,TEMP,startprocess,S5
55.0,5,TEMP,enterqueue,station2
55.0,5,TEMP,startprocess,S2M1
56.0,6,TEMP,finishprocess,S2M2
56.0,6,TEMP,systemexit,System
61.0,4,TEMP,finishprocess,S5
61.0,3,TEMP,startprocess,S5
61.0,4,TEMP,enterqueue,station2
61.0,4,TEMP,startprocess,S2M2
62.0,5,TEMP,finishprocess,S2M1
62.0,5,TEMP,systemexit,System
67.0,3,TEMP,finishprocess,S5
67.0,2,TEMP,startprocess,S5
67.0,3,TEMP,enterqueue,station2
67.0,3,TEMP,startprocess,S2M1
68.0,4,TEMP,finishprocess,S2M2
68.0,4,TEMP,systemexit,System
73.0,2,TEMP,finishprocess,S5
73.0,2,TEMP,enterqueue,station2
73.0,2,TEMP,startprocess,S2M2
74.0,3,TEMP,finishprocess,S2M1
74.0,3,TEMP,systemexit,System
80.0,2,TEMP,finishprocess,S2M2
80.0,2,TEMP,systemexit,System
