timestamp,station,queue_length
0.0,station1,0
0.0,station1,1
0.0,station1,2
0.0,station1,3
0.0,station1,4
0.0,station1,5
0.0,station1,6
0.0,station1,7
0.0,station1,8
0.0,station1,9
0.0,station1,10
0.0,station1,9
1.0,station1,8
2.0,station1,7
3.0,station1,6
4.0,station1,5
5.0,station1,4
6.0,station1,3
7.0,station1,2
8.0,station1,1
9.0,station1,0
0.0,station2,0
19.0,station2,1
19.0,station2,0
25.0,station2,1
25.0,station2,0
31.0,station2,1
31.0,station2,0
37.0,station2,1
37.0,station2,0
43.0,station2,1
43.0,station2,0
49.0,station2,1
49.0,station2,0
55.0,station2,1
55.0,station2,0
61.0,station2,1
61.0,station2,0
67.0,station2,1
67.0,station2,0
73.0,station2,1
73.0,station2,0
0.0,station3,0
1.0,station3,1
1.0,station3,0
2.0,station3,1
3.0,station3,2
4.0,station3,3
5.0,station3,4
5.0,station3,3
6.0,station3,4
7.0,station3,5
8.0,station3,6
9.0,station3,7
9.0,station3,6
10.0,station3,7
13.0,station3,6
17.0,station3,5
21.0,station3,4
25.0,station3,3
29.0,station3,2
33.0,station3,1
37.0,station3,0
0.0,station4,0
5.0,station4,1
5.0,station4,0
9.0,station4,1
9.0,station4,0
13.0,station4,1
13.0,station4,0
17.0,station4,1
17.0,station4,0
21.0,station4,1
21.0,station4,0
25.0,station4,1
25.0,station4,0
29.0,station4,1
29.0,station4,0
33.0,station4,1
33.0,station4,0
37.0,station4,1
37.0,station4,0
41.0,station4,1
41.0,station4,0
0.0,station5,0
13.0,station5,1
13.0,station5,0
17.0,station5,1
19.0,station5,0
21.0,station5,1
25.0,station5,2
25.0,station5,1
29.0,station5,2
31.0,station5,1
33.0,station5,2
37.0,station5,3
37.0,station5,2
41.0,station5,3
43.0,station5,2
45.0,station5,3
49.0,station5,4
49.0,station5,3
55.0,station5,2
61.0,station5,1
67.0,station5,0
