client_code,station,waiting_time
TEMP,station1,0.0
TEMP,station1,1.0
TEMP,station1,2.0
TEMP,station1,3.0
TEMP,station1,4.0
TEMP,station1,5.0
TEMP,station1,6.0
TEMP,station1,7.0
TEMP,station1,8.0
TEMP,station1,9.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station2,0.0
TEMP,station3,0.0
TEMP,station3,3.0
TEMP,station3,6.0
TEMP,station3,9.0
TEMP,station3,12.0
TEMP,station3,15.0
TEMP,station3,18.0
TEMP,station3,21.0
TEMP,station3,24.0
TEMP,station3,27.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station4,0.0
TEMP,station5,0.0
TEMP,station5,2.0
TEMP,station5,4.0
TEMP,station5,6.0
TEMP,station5,8.0
TEMP,station5,10.0
TEMP,station5,12.0
TEMP,station5,14.0
TEMP,station5,16.0
TEMP,station5,18.0
