machine,total_processing_time,processing_percent,down_percent,repair_percent,maint_percent,idle_percent
S1M1,70.4927878,68.32838401699907,0.0,0.0,0.0,31.671615983000933
S1M2,71.63224419999999,69.43285465718314,0.0,0.0,0.0,30.567145342816858
S1M3,72.1678554,69.9520205023649,0.0,0.0,0.0,30.047979497635097
S1M4,71.52322619999998,69.32718393537967,0.0,0.0,0.0,30.672816064620335
S2M1,86.08146139999998,83.43842448069107,0.0,0.0,0.0,16.56157551930893
S2M2,85.6289206,82.9997784499299,0.0,0.0,0.0,17.000221550070094
S2M3,85.25490819999999,82.63724969072086,0.0,0.0,0.0,17.362750309279136
S3M1,62.08766940000003,60.18133556470984,0.0,0.0,0.0,39.81866443529016
S3M2,62.28347880000006,60.37113285170747,0.0,0.0,0.0,39.62886714829253
S4M1,64.80530640000003,62.81553049939797,0.0,0.0,0.0,37.18446950060203
S4M2,67.39005720000002,65.32091935920194,0.0,0.0,0.0,34.67908064079806
S4M3,66.58256600000003,64.53822129141538,0.0,0.0,0.0,35.46177870858462
S5M1,56.05643720000004,54.33528573864111,0.0,0.0,0.0,45.66471426135889
S5M2,56.60091660000005,54.863047495462226,0.0,0.0,0.0,45.136952504537774
S5M3,54.212634600000015,52.548095076501596,0.0,0.0,0.0,47.451904923498404
S6M1,31.815772,30.8389035936707,0.0,0.0,0.0,69.1610964063293
S6M2,36.75022740000001,35.62185194921801,0.0,0.0,0.0,64.37814805078199
S7M1,73.23170340000003,70.98320421559747,0.0,0.0,0.0,29.016795784402532
S7M2,73.97903400000003,71.70758884866562,0.0,0.0,0.0,28.292411151334377
S7M3,72.4348016,70.21077041189082,0.0,0.0,0.0,29.78922958810918
S7M4,72.21018220000002,69.9930477043649,0.0,0.0,0.0,30.006952295635102
S8M1,80.82579140000006,78.34412406735692,0.0,0.0,0.0,21.655875932643085
S8M2,79.65243260000005,77.20679196320476,0.0,0.0,0.0,22.793208036795235
S8M3,75.35938740000005,73.04556001050938,0.0,0.0,0.0,26.954439989490623
